name,id,address,date,kWh,public_url,installationDate,uid
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 8:00,1.842,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 9:00,6.592,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 10:00,4.921,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 11:00,6.761,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 12:00,12.377,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 13:00,8.162,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 14:00,4.559,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 14:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 15:00,2.844,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 15:00:00
Telus Spark,594148,220 ST GEORGES DR NE,2/12/2017 16:00,0.339,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-02 16:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 8:00,0.383,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 08:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 9:00,2.949,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 09:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 10:00,5.441,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 10:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 11:00,12.11,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 11:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 12:00,15.009,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 12:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 13:00,11.301,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 13:00:00
Telus Spark,594148,220 ST GEORGES DR NE,3/12/2017 14:00,6.345,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=TELUS%20Spark,27/11/2017,5941482017-12-03 14:00:00
